"source","target","id","developer_comments"
"XMESS_0000","啊……药浴渗透到全身了。","XMESS_0000","机翻辅助：

啊……药浴渗透到全身了。

啊……药浴会渗到身体里的。

啊……药水会渗透到身体里的。"
"XMESS_0001","景色也很棒，感觉好疗愈哦。","XMESS_0001","机翻辅助：

景色也很棒，感觉好疗愈哦。

景色也是最棒的，可以治愈。

景色也很棒，很治愈呢。"
"XMESS_0002","远方那个蓝色的地方是海吗？
","XMESS_0002","机翻辅助：

远方那个蓝色的地方是海吗？


对面看到的蓝色的地方是大海吗？


对面那个蓝色的地方是海吗？"
"XMESS_0003","嗯，那是骏河湾。","XMESS_0003","机翻辅助：

嗯，那是骏河湾。

嗯，骏河湾。

嗯，骏河湾啊。"
"XMESS_0004","（真想在海边露营。
）","XMESS_0004","机翻辅助：

（真想在海边露营。
）

（总有一天想在海边露营）


（真想什么时候去海边露营啊）"
"XMESS_0005","呼……清爽多了。","XMESS_0005","机翻辅助：

呼……清爽多了。

嗯……很清爽。

呼……心情舒畅。"
"XMESS_0006","啊，好像也可以吃饭。
在这里吃午餐吧。","XMESS_0006","机翻辅助：

啊，好像也可以吃饭。
在这里吃午餐吧。

啊，好像还能吃饭。
在这里吃午饭吧。

啊，好像也能吃饭。
在这里吃午饭吧。"
"XMESS_0007","（富士山猪排咖喱，还有富士山味噌拉面？
）","XMESS_0007","机翻辅助：

（富士山猪排咖喱，还有富士山味噌拉面？
）

（富士山猪排咖喱配富士山味增拉面？
）

（富士山猪排咖喱配富士山味噌拉面？
）"
"XMESS_0008","小凛要选哪一个？","XMESS_0008","机翻辅助：

小凛要选哪一个？

凛要哪一个？

凛选哪个？"
"XMESS_0009","啊，好的。
那我要……山葵可乐饼。","XMESS_0009","机翻辅助：

啊，好的。
那我要……山葵可乐饼。

啊，好的。
那么我……用芥末可乐饼。

啊，好的。
那我……芥末可乐饼。"
"XMESS_0010","啊嗯……唔……","XMESS_0010","机翻辅助：

啊嗯……唔……

哈哈……嗯。

嗯……嘟嘟。"
"XMESS_0011","小凛，你没事吧？
眼泪都流出来了。","XMESS_0011","机翻辅助：

小凛，你没事吧？
眼泪都流出来了。

没关系，凛酱？
虽然流泪了。

没关系，凛？
虽然在流泪。"
"XMESS_0012","（原以为是热腾腾的可乐饼，　没想到芥末的风味在后劲会这么强烈。
）","XMESS_0012","机翻辅助：

（原以为是热腾腾的可乐饼，　没想到芥末的风味在后劲会这么强烈。
）

（原以为是热乎乎的可乐饼，
没想到后来又有芥末的风味）

（原以为是北方的炸肉饼，
没想到是稍后传来的芥末味）"
"XMESS_0013","（啊啊……真的是大人的味道。）","XMESS_0013","机翻辅助：

（啊啊……真的是大人的味道。）

（啊……真是成熟的味道。）

（啊……简直是大人的味道。）"
